Time,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Label
Mon Sep 24 16:38:15 2018,-0.234,-0.459,-0.96,32.486,-20.187,41.733,65.182,-2.383,-41.855,1
Mon Sep 24 16:38:15 2018,-0.154,-0.356,-0.998,7.645,21.049,21.049,68.269,0.733,-40.279,1
Mon Sep 24 16:38:16 2018,-0.192,0.07,-0.826,53.375,92.224,-14.053,66.453,6.233,-37.827,0
Mon Sep 24 16:38:16 2018,-0.3,-0.781,-0.939,38.498,40.199,-25.81,65.546,13.749,-40.804,1
Mon Sep 24 16:38:16 2018,-0.158,-0.549,-0.926,-13.893,36.812,-29.381,64.819,13.749,-42.905,0
Mon Sep 24 16:38:16 2018,-0.284,-0.511,-0.89,48.347,-28.969,-20.638,64.638,15.766,-41.68,0
Mon Sep 24 16:38:17 2018,-0.16,-0.363,-1.055,-22.247,-74.57,47.31,64.638,14.299,-44.481,0
Mon Sep 24 16:38:17 2018,0.064,-0.591,-0.996,-37.537,-179.848,125.198,61.006,15.033,-45.532,1
Mon Sep 24 16:38:17 2018,-0.46,-0.507,-0.923,85.602,151.115,-128.441,57.738,9.166,-44.481,0
Mon Sep 24 16:38:17 2018,0.166,-1.313,-0.977,-41.26,-83.069,-38.971,57.375,0.367,-43.781,1
Mon Sep 24 16:38:18 2018,-0.234,-1.05,-0.919,57.991,150.764,-24.864,59.009,-3.117,-38.702,2
Mon Sep 24 16:38:18 2018,-0.372,-0.613,-1.001,-33.676,50.308,-74.486,60.643,-2.933,-38.177,1
Mon Sep 24 16:38:18 2018,-0.284,-0.63,-0.935,12.833,12.901,14.717,62.096,-4.4,-38.878,1
Mon Sep 24 16:38:18 2018,-0.278,-0.435,-0.841,39.81,-79.422,39.894,63.548,-4.033,-37.477,0
Mon Sep 24 16:38:18 2018,-0.149,-0.62,-0.942,29.793,-1.06,17.731,61.551,-5.316,-39.403,2
Mon Sep 24 16:38:19 2018,-0.306,-0.474,-1.039,16.258,87.036,-72.769,62.641,-6.416,-39.053,1
Mon Sep 24 16:38:19 2018,-0.308,-0.144,-1.045,-51.582,42.908,-9.377,64.275,-8.433,-39.928,0
Mon Sep 24 16:38:19 2018,0.027,-0.371,-0.939,-30.19,-27.397,36.4,64.275,-8.433,-40.279,2
Mon Sep 24 16:38:19 2018,-0.458,-0.16,-0.765,-58.472,-63.194,62.744,67.361,-8.983,-40.103,2
Mon Sep 24 16:38:20 2018,-0.143,-0.159,-1.152,34.004,-79.407,50.339,67.906,-9.899,-41.329,2
Mon Sep 24 16:38:20 2018,-0.052,-0.818,-0.935,49.049,43.724,-18.158,65.364,-8.8,-40.629,2
Mon Sep 24 16:38:20 2018,-0.286,-0.743,-0.918,-21.378,-15.9,0.832,66.09,-11.366,-40.279,2
Mon Sep 24 16:38:20 2018,-0.254,-0.705,-0.822,-14.824,16.594,14.893,66.635,-11.549,-38.002,2
Mon Sep 24 16:38:21 2018,-0.166,0.068,-0.908,-53.345,0.732,4.944,66.272,-10.816,-38.002,2
Mon Sep 24 16:38:21 2018,-0.318,-0.612,-1.004,35.454,28.969,-15.411,66.998,-14.116,-37.301,2
Mon Sep 24 16:38:21 2018,-0.304,-0.764,-0.962,16.266,116.463,-59.471,69.177,-11.183,-33.449,1
Mon Sep 24 16:38:21 2018,-0.2,-0.531,-0.909,47.363,117.63,7.706,74.261,-2.75,-29.246,0
Mon Sep 24 16:38:22 2018,-0.293,-0.415,-0.852,34.05,-74.265,24.048,73.898,10.083,-28.545,1
Mon Sep 24 16:38:22 2018,-0.027,-0.644,-1.002,-2.258,-66.36,33.295,75.532,7.7,-38.878,1
Mon Sep 24 16:38:22 2018,-0.25,-0.685,-0.982,-0.145,-1.183,9.018,70.993,6.05,-41.154,0
Mon Sep 24 16:38:22 2018,0.068,-0.091,-0.958,43.526,-46.967,9.689,66.998,5.316,-46.058,0
Mon Sep 24 16:38:23 2018,-0.179,-0.766,-1.105,-38.025,-1.175,44.327,64.275,4.766,-48.334,0
Mon Sep 24 16:38:23 2018,-0.108,-0.296,-0.945,37.239,53.36,36.85,60.825,7.516,-48.86,0
Mon Sep 24 16:38:23 2018,-0.432,-0.418,-0.903,20.546,-33.44,-24.078,57.92,9.35,-49.21,1
Mon Sep 24 16:38:23 2018,-0.274,-0.442,-0.935,37.865,77.248,-32.402,53.925,8.616,-49.21,1
Mon Sep 24 16:38:24 2018,-0.221,-0.678,-1.057,-30.006,7.675,30.083,49.568,10.449,-45.007,1
Mon Sep 24 16:38:24 2018,-0.268,-0.428,-0.979,-8.507,-33.173,70.442,49.386,12.833,-43.781,2
Mon Sep 24 16:38:24 2018,-0.34,-0.456,-0.753,0.069,4.333,17.525,48.66,17.232,-41.68,1
Mon Sep 24 16:38:24 2018,-0.098,-0.485,-1.026,14.008,-31.837,23.682,48.115,19.616,-41.855,1
Mon Sep 24 16:38:25 2018,-0.223,-0.373,-0.988,55.252,-85.396,96.535,43.394,23.649,-45.007,1
Mon Sep 24 16:38:25 2018,-0.171,-0.551,-0.918,-34.424,-46.104,28.229,41.579,26.215,-47.108,2
Mon Sep 24 16:38:25 2018,-0.212,-0.557,-0.944,32.104,27.39,21.08,39.4,25.849,-47.809,1
Mon Sep 24 16:38:25 2018,-0.275,-0.483,-0.916,40.741,48.5,18.074,34.498,27.865,-48.334,1
Mon Sep 24 16:38:26 2018,-0.273,-0.692,-0.957,30.029,-37.88,35.194,31.593,26.399,-50.085,1
Mon Sep 24 16:38:26 2018,-0.228,-0.266,-0.903,-29.938,28.862,3.036,31.774,26.949,-50.611,2
Mon Sep 24 16:38:26 2018,-0.272,-0.583,-0.864,34.454,-27.924,72.96,26.872,27.499,-52.187,1
Mon Sep 24 16:38:26 2018,-0.266,-0.73,-1.002,-18.242,13.382,24.216,23.059,25.482,-54.113,2
Mon Sep 24 16:38:27 2018,-0.057,-0.527,-1.032,24.384,43.747,12.596,21.062,27.865,-55.689,1
Mon Sep 24 16:38:27 2018,-0.372,-0.578,-0.972,-17.738,66.46,35.37,16.886,24.382,-60.418,1
Mon Sep 24 16:38:27 2018,-0.206,-0.92,-1.05,-11.07,51.064,65.369,10.531,19.799,-63.745,2
Mon Sep 24 16:38:27 2018,-0.209,-0.718,-0.936,-28.526,-40.527,70.236,7.626,12.833,-66.547,1
Mon Sep 24 16:38:28 2018,-0.162,-0.215,-0.921,-25.093,24.414,-9.758,7.807,8.616,-67.773,1
Mon Sep 24 16:38:28 2018,-0.256,-1,-1.042,23.087,-64.72,109.52,7.989,3.3,-66.897,1
Mon Sep 24 16:38:28 2018,-0.301,-0.43,-0.883,22.194,-0.473,5.623,11.62,-4.033,-65.847,2
Mon Sep 24 16:38:28 2018,-0.188,-0.499,-0.889,2.899,-22.057,7.156,12.165,-1.283,-66.372,1
Mon Sep 24 16:38:29 2018,-0.269,-0.387,-0.849,20.737,8.224,-13.512,13.618,-2.017,-67.423,2
Mon Sep 24 16:38:29 2018,-0.084,-0.519,-0.865,25.62,-33.073,12.962,11.983,-1.1,-65.847,1
Mon Sep 24 16:38:29 2018,-0.277,-0.57,-0.915,-7.339,4.15,4.631,12.891,-1.65,-65.321,0
Mon Sep 24 16:38:29 2018,-0.277,-0.485,-0.996,16.159,-36.736,10.742,11.802,0.183,-66.722,2
Mon Sep 24 16:38:30 2018,-0.218,-0.384,-0.93,9.422,12.68,3.593,13.436,-1.833,-66.547,1
Mon Sep 24 16:38:30 2018,-0.185,-0.607,-0.942,-5.547,3.532,15.999,15.07,-1.65,-66.722,2
Mon Sep 24 16:38:30 2018,-0.187,-0.41,-0.982,31.525,23.361,18.082,17.612,-2.383,-67.072,1
Mon Sep 24 16:38:30 2018,-0.244,-0.178,-1.014,5.318,70.74,17.876,23.059,-4.583,-69.874,1
Mon Sep 24 16:38:31 2018,-0.306,-0.93,-0.803,-40.985,-44.861,35.912,22.877,-9.899,-74.953,2
Mon Sep 24 16:38:31 2018,-0.088,-0.72,-0.905,-45.303,-41.016,23.003,18.52,-8.433,-79.156,1
Mon Sep 24 16:38:31 2018,-0.428,-0.264,-1.008,14.206,8.308,-33.646,12.165,-9.35,-79.331,1
Mon Sep 24 16:38:31 2018,-0.174,-0.526,-0.946,-15.938,32.608,-35.347,9.26,-6.783,-78.28,1
Mon Sep 24 16:38:32 2018,-0.163,-0.366,-0.961,-12.07,-118.103,85.533,10.712,-7.15,-73.377,1
Mon Sep 24 16:38:32 2018,-0.133,0.026,-0.796,48.05,-72.037,62.881,12.528,-4.216,-70.575,1
Mon Sep 24 16:38:32 2018,-0.362,-0.82,-0.786,-38.933,76.553,-58.502,10.531,-4.033,-67.598,1
Mon Sep 24 16:38:32 2018,-0.235,-1.025,-1.043,-46.593,77.385,-35.98,11.983,0,-68.649,1
Mon Sep 24 16:38:33 2018,-0.133,-0.74,-1.071,-28.046,-77.126,54.482,11.257,0.733,-71.801,1
Mon Sep 24 16:38:33 2018,-0.336,-0.253,-0.88,45.639,69.267,-34.615,10.168,0.733,-71.801,1
Mon Sep 24 16:38:33 2018,-0.141,-0.154,-0.792,-55.519,-28.74,49.736,6.173,2.933,-70.05,1
Mon Sep 24 16:38:33 2018,-0.031,-0.354,-0.955,68.924,-43.404,10.765,5.81,2.2,-70.05,1
Mon Sep 24 16:38:34 2018,-0.328,-0.6,-0.959,33.134,118.439,39.23,6.718,-3.483,-69.874,1
Mon Sep 24 16:38:34 2018,-0.49,-0.349,-0.942,35.378,-69.489,-9.88,7.626,-7.7,-70.4,1
Mon Sep 24 16:38:34 2018,-0.166,-0.336,-1.057,8.217,-14.137,-19.539,4.358,-3.3,-71.451,0
Mon Sep 24 16:38:34 2018,-0.487,-1.093,-1.02,33.89,-5.264,-22.346,5.447,-7.333,-69.699,0
Mon Sep 24 16:38:35 2018,0.139,-0.808,-0.813,43.495,35.995,-18.608,8.352,-5.133,-68.649,2
Mon Sep 24 16:38:35 2018,-0.576,-0.373,-0.822,17.601,7.156,-17.174,9.805,-7.7,-67.248,2
Mon Sep 24 16:38:35 2018,-0.004,-0.94,-0.983,6.607,-8.4,17.54,11.62,-5.5,-67.948,0
Mon Sep 24 16:38:35 2018,-0.207,-0.606,-0.974,0.191,3.983,-18.288,12.891,-4.583,-67.773,1
Mon Sep 24 16:38:36 2018,-0.078,-0.588,-1.066,-29.655,-108.223,67.009,12.891,-3.483,-70.925,0
Mon Sep 24 16:38:36 2018,-0.224,-0.429,-0.95,-15.755,34.256,4.074,13.436,-4.033,-73.552,0
Mon Sep 24 16:38:36 2018,-0.188,-0.485,-0.988,43.587,1.869,-21.446,13.254,-3.117,-75.478,0
Mon Sep 24 16:38:36 2018,-0.156,-0.79,-1.058,71.678,79.926,-30.968,9.986,-4.216,-75.829,0
Mon Sep 24 16:38:37 2018,-0.196,-0.472,-0.733,59.57,-108.04,58.975,8.715,-3.3,-73.902,1
Mon Sep 24 16:38:37 2018,0.007,-0.588,-0.827,34.103,90.492,-60.379,8.352,-2.567,-73.902,0
Mon Sep 24 16:38:37 2018,-0.103,-0.929,-0.913,-57.953,-121.124,68.031,8.715,-2.567,-71.451,1
Mon Sep 24 16:38:37 2018,-0.078,-0.644,-0.884,-0.969,-4.768,35.088,7.263,-3.666,-73.202,2
Mon Sep 24 16:38:38 2018,-0.289,-1.02,-0.994,25.52,-43.892,16.167,6.9,-3.666,-71.451,1
Mon Sep 24 16:38:38 2018,-0.151,-0.494,-0.922,11.612,-5.31,4.593,8.352,-2.567,-69.349,1
Mon Sep 24 16:38:38 2018,-0.083,-0.368,-0.766,52.376,21.332,8.423,8.171,-2.75,-66.722,2
Mon Sep 24 16:38:38 2018,-0.299,-0.284,-0.914,-2.411,30.64,-5.135,10.712,-5.316,-66.722,1
Mon Sep 24 16:38:39 2018,-0.213,-0.445,-0.974,6.393,-9.521,56.236,13.618,-3.85,-66.722,1
Mon Sep 24 16:38:39 2018,-0.105,-0.443,-0.81,22.919,-33.173,86.983,17.612,-7.516,-67.072,1
Mon Sep 24 16:38:39 2018,-0.024,-0.227,-0.991,10.841,19.753,66.483,22.696,-10.816,-67.423,2
Mon Sep 24 16:38:39 2018,-0.254,-0.059,-0.857,98.32,79.849,-8.591,27.598,-14.299,-66.197,1
Mon Sep 24 16:38:40 2018,-0.306,-0.745,-0.768,-18.814,11.116,-38.322,25.601,-14.483,-69.174,1
Mon Sep 24 16:38:40 2018,-0.226,-0.491,-0.942,32.41,0.374,19.028,25.419,-13.933,-70.05,1
Mon Sep 24 16:38:40 2018,-0.275,-0.804,-0.96,-32.707,21.843,-29.549,27.235,-14.299,-69.699,0
Mon Sep 24 16:38:40 2018,-0.224,-0.584,-0.872,-9.163,42.32,-2.541,28.688,-14.666,-69.349,1
Mon Sep 24 16:38:41 2018,-0.2,-0.338,-0.973,10.597,-29.617,6.523,27.053,-14.116,-71.626,1
Mon Sep 24 16:38:41 2018,-0.141,-0.488,-0.868,-25.688,-4.242,15.366,27.78,-13.016,-70.925,1
Mon Sep 24 16:38:41 2018,-0.277,-1.14,-0.969,94.421,-29.32,-22.514,28.869,-16.682,-69.524,1
Mon Sep 24 16:38:41 2018,-0.088,-0.268,-1.099,59.593,-49.385,61.813,28.869,-18.516,-70.925,1
Mon Sep 24 16:38:42 2018,-0.129,-1.526,-0.979,-119.202,-51.079,127.396,29.595,-20.349,-66.372,1
Mon Sep 24 16:38:42 2018,0.045,-0.489,-0.841,35.645,-44.975,28.015,36.495,-18.149,-59.367,1
Mon Sep 24 16:38:42 2018,-0.18,-0.312,-0.789,-16.609,-72.098,-2.563,36.313,-19.432,-62.344,0
Mon Sep 24 16:38:42 2018,-0.67,-0.04,-0.939,-21.347,90.652,-45.929,34.861,-20.899,-61.644,1
Mon Sep 24 16:38:43 2018,-0.12,-0.466,-1.11,-19.341,9.003,-6.279,27.961,-19.432,-68.298,1
Mon Sep 24 16:38:43 2018,-0.283,-0.555,-1.047,-78.117,-18.677,48.553,24.875,-22.915,-59.017,1
Mon Sep 24 16:38:43 2018,-0.033,-0.445,-0.946,1.793,36.552,12.863,29.595,-23.282,-60.418,1
Mon Sep 24 16:38:43 2018,-0.465,-0.073,-0.972,97.588,249.992,-64.156,32.864,-25.482,-55.865,1
Mon Sep 24 16:38:44 2018,-0.15,-0.414,-0.755,5.455,-78.224,-26.024,40.853,-24.382,-48.159,1
Mon Sep 24 16:38:44 2018,0.027,-0.183,-0.784,87.273,73.738,-41.321,41.397,-27.865,-57.09,1
Mon Sep 24 16:38:44 2018,-0.169,-0.287,-0.973,-25.23,12.054,-17.853,42.487,-28.599,-57.441,1
Mon Sep 24 16:38:44 2018,-0.245,-0.895,-1.05,-59.662,-29.655,42.397,41.942,-27.682,-62.519,1
Mon Sep 24 16:38:45 2018,-0.136,-0.599,-1.198,-0.32,24.193,-2.693,41.397,-29.698,-60.593,1
Mon Sep 24 16:38:45 2018,-0.273,-0.386,-0.801,-36.652,110.809,-78.186,42.305,-31.715,-61.118,1
Mon Sep 24 16:38:45 2018,-0.61,-0.735,-1.081,-65.697,77.522,-67.871,44.847,-33.548,-59.367,1
Mon Sep 24 16:38:45 2018,0.045,-0.725,-0.941,8.209,-37.254,33.981,46.481,-31.898,-64.796,1
Mon Sep 24 16:38:45 2018,-0.099,-0.501,-0.92,-14.778,181.686,-143.265,42.85,-34.098,-66.547,1
Mon Sep 24 16:38:46 2018,-0.331,-0.751,-0.962,-13.992,-107.033,85.579,42.668,-33.915,-69.874,1
Mon Sep 24 16:38:46 2018,-0.057,-0.622,-0.821,82.504,-79.361,109.467,43.576,-34.098,-66.897,1
Mon Sep 24 16:38:46 2018,-0.082,-0.521,-0.923,-17.418,-22.499,-21.599,49.023,-34.832,-61.644,1
Mon Sep 24 16:38:46 2018,-0.291,-0.468,-0.991,30.807,32.219,-20.813,43.394,-36.115,-69.174,1
Mon Sep 24 16:38:47 2018,-0.328,-0.471,-1.02,-15.03,-17.632,-17.464,44.121,-34.282,-63.92,1
Mon Sep 24 16:38:47 2018,0.188,-1.444,-0.971,-61.531,73.509,-35.912,42.305,-32.082,-66.722,1
Mon Sep 24 16:38:47 2018,-0.24,-0.257,-1.009,-55.046,-112.465,90.439,42.85,-27.132,-69.699,1
Mon Sep 24 16:38:47 2018,-0.257,-0.038,-0.88,2.052,84.023,-92.445,42.123,-30.432,-70.4,1
Mon Sep 24 16:38:48 2018,-0.648,-0.52,-0.796,32.349,22.392,-58.296,35.587,-36.665,-72.151,1
Mon Sep 24 16:38:48 2018,-0.621,-0.063,-1.012,-13.161,-32.898,63.972,34.861,-37.031,-69.349,1
Mon Sep 24 16:38:48 2018,-0.259,-0.826,-0.928,-62.729,24.422,-37.369,33.953,-36.115,-66.022,1
Mon Sep 24 16:38:48 2018,0.114,-1.01,-1.023,-10.712,13.634,13.855,32.682,-34.098,-70.05,1
Mon Sep 24 16:38:49 2018,-0.162,-0.632,-0.729,18.768,-88.966,106.728,34.679,-32.815,-64.621,1
Mon Sep 24 16:38:49 2018,-0.334,-0.061,-0.816,69.321,-109.413,115.807,45.755,-32.632,-54.989,1
Mon Sep 24 16:38:49 2018,-0.094,-0.305,-0.98,-17.921,60.478,-85.312,40.489,-32.815,-62.519,1
Mon Sep 24 16:38:49 2018,-0.137,-0.477,-0.934,4.562,76.775,-23.102,39.945,-30.432,-60.593,1
Mon Sep 24 16:38:50 2018,-0.232,-0.751,-0.875,19.562,44.716,-87.265,36.495,-29.515,-61.469,1
Mon Sep 24 16:38:50 2018,-0.081,-0.664,-0.818,-9.903,77.934,-61.432,33.408,-28.232,-64.446,1
Mon Sep 24 16:38:50 2018,-0.308,-0.587,-0.952,-39.093,29.968,30.51,33.953,-29.515,-63.22,0
Mon Sep 24 16:38:50 2018,-0.074,-0.553,-0.974,-14.671,-78.69,48.317,32.319,-26.032,-63.745,0
Mon Sep 24 16:38:51 2018,-0.096,-0.564,-0.871,10.3,-122.566,71.648,30.685,-25.115,-64.271,0
Mon Sep 24 16:38:51 2018,-0.311,-0.279,-0.838,-14.755,-100.51,50.484,29.777,-23.832,-64.796,0
Mon Sep 24 16:38:51 2018,-0.229,0.107,-0.865,-28.526,85.075,-57.808,30.322,-23.649,-66.722,0
Mon Sep 24 16:38:51 2018,-0.504,-0.232,-0.972,43.083,106.453,-85.823,30.14,-26.399,-65.847,0
Mon Sep 24 16:38:52 2018,-0.608,-0.586,-0.895,-66.376,63.515,-42.717,29.232,-27.682,-65.672,0
Mon Sep 24 16:38:52 2018,-0.253,-0.593,-0.954,27.489,82.108,-51.559,28.869,-26.582,-64.621,0
Mon Sep 24 16:38:52 2018,-0.189,-1.122,-0.753,16.38,131.447,-31.83,29.777,-29.332,-64.446,0
Mon Sep 24 16:38:52 2018,-0.163,-0.203,-0.822,14.336,-9.048,-10.925,30.14,-28.232,-61.994,0
